feature,missing_pct,mean,std,min,p25,p50,p75,max
obi5_mean_300s,0.0,-0.06191996173146938,0.47986491949740473,-0.9892830379816978,-0.43929528283333186,-0.07596546035047065,0.30094983862565367,0.9908923254987176
obi5_std_300s,0.03527070264278336,0.29142637446144476,0.22368253090118043,0.0,0.10191023517093836,0.24817568189812936,0.4436665779196698,1.3168728407877823
ofi_proxy,0.0,0.00014142682588869578,0.018294442579388837,-0.5081960000000001,-0.0016229999999999999,0.0,0.001766,0.777173
ofi_proxy_120s,0.0,0.00030357861587685894,0.02463777178511627,-0.629819,-0.00271,0.0,0.003,0.778336
ofi_proxy_300s,0.0,0.00078485345023051,0.03866099070238312,-0.670326,-0.005624999999999996,4.800000000000594e-05,0.006419,0.7848499999999999
ofi_proxy_600s,0.0,0.0014246580505378908,0.05327551783817612,-0.674632,-0.009496999999999952,0.0002529999999999879,0.011159,1.155495
normalized_ofi_120s,0.0,0.04984439937698891,6.662398220851299,-519.2856771938802,-0.6833894155840952,0.0,0.7564766828180767,367.49999846875
normalized_ofi_300s,0.0,0.07319844717696243,3.6557604545842914,-256.2318107031945,-1.075370919030372,0.005725555060026004,1.1849427638786452,166.26208147535144
normalized_ofi_600s,0.0,0.11740043816044732,3.3202658385088872,-61.80392686517216,-1.5321494863928187,0.032685807668881156,1.7351710557276925,63.96883690300892
ask_distance_1_bps,0.0,6.975157626832005,7.138573306138797,3.4076194371773876e-07,0.8254529446056792,4.776770263517508,11.806464285940633,178.71682339399246
ask_distance_3_bps,0.0,13.998614654377459,11.011662531599512,1.7667844526089725e-06,6.067165408115798,12.453132645037972,18.638374169074996,178.71683489320185
ask_distance_5_bps,0.0,20.946069414395854,15.56220928100705,4.16982626011571e-06,10.752837908890827,17.612925387838352,27.302337893825186,350.6042966981853
ask_distance_8_bps,0.0,31.455088801453964,23.78035112305676,0.0001164603010703467,16.300772280032692,25.62364448023889,40.01852088126139,374.3582887034814
bid_distance_1_bps,0.0,6.975157626832005,7.138573306138797,3.4076194371773876e-07,0.8254529446056792,4.776770263517508,11.806464285940633,178.71682339399246
bid_distance_3_bps,0.0,12.980583465277766,10.742045247863766,1.8077902347701334e-06,5.0716866911149765,11.562081912571683,17.698679337077838,264.72634744874483
bid_distance_5_bps,0.0,18.331491411180796,14.038939138956106,3.258508326237271e-06,8.767322346752618,15.830554925316594,24.16578362626427,264.72634890068724
bid_distance_8_bps,0.0,26.043628916898864,19.28351780524601,6.065377824743589e-05,13.22461133571816,21.8023561779254,34.05785906897272,413.47741875671574
return_5s,0.0025193359030559544,-0.034291477302455325,11.048246760559,-211.11578529055598,-1.5365831079268273,0.0,1.4572581576772081,181.86130862955588
return_15s,0.0025193359030559544,-0.034291477302455325,11.048246760559,-211.11578529055598,-1.5365831079268273,0.0,1.4572581576772081,181.86130862955588
return_30s,0.0025193359030559544,-0.034291477302455325,11.048246760559,-211.11578529055598,-1.5365831079268273,0.0,1.4572581576772081,181.86130862955588
return_60s,0.0025193359030559544,-0.034291477302455325,11.048246760559,-211.11578529055598,-1.5365831079268273,0.0,1.4572581576772081,181.86130862955588
return_120s,0.005038671806111909,-0.03955237646886455,13.308017909976009,-211.11578529055598,-3.136256205647981,0.0,3.086848491243085,200.78377730183297
volatility_120s,0.18895019272919658,7.937271573321584,11.011512853680362,0.0,0.3928598152164123,4.030629238383273,11.693596346728969,211.11578529055598
volatility_300s,0.4081324162950646,14.162123653298346,15.0710661170561,0.0,3.7435443871365885,10.724293204791513,19.723595811491172,272.1614496401646
volatility_600s,0.025193359030559546,20.610273375625837,19.035607553966837,0.0,7.834048072416731,16.778430519518125,27.587557263372297,319.115546149138
last_trade_edge_bps,0.0,-0.8622583550104516,10.599664698221485,-240.85065068177332,-6.401241744705249,-3.9291882710516464e-05,3.574245759269054,86.96832249664797
log_last_trade_qty,0.0,0.0008239281910011017,0.002717860693098545,9.999995000003334e-07,3.09995195099301e-05,0.00016198687941700385,0.0006837661786164757,0.12189722741764975
trade_sign,0.0,-0.07472350288463961,0.990486466719721,-1.0,-1.0,-1.0,1.0,1.0
trade_imbalance_120s,0.05038671806111909,-0.00010198326317646782,0.0036865717420030554,-0.091074,-0.000425,-1e-06,0.00024800000000000175,0.137874
trade_imbalance_300s,0.007558007709167864,-0.00025345333837239217,0.005787724713705621,-0.09063399999999999,-0.0012099999999999969,-6.0999999999998515e-05,0.0007069999999999935,0.13805800000000001
trade_intensity_120s,0.0,1.6230317688257376,0.5597077894375575,0.0,1.0,2.0,2.0,2.0
trade_intensity_300s,0.0,3.8597737636359057,1.2853242270526646,0.0,3.0,4.0,5.0,5.0
time_since_last_trade,0.0,13.409538978988738,56.39846354283391,0.0,0.0,0.0,0.0,1318.911942
hour_sin,0.0,0.011644662008170194,0.7050235948689676,-1.0,-0.691513055782269,0.02617694830787315,0.7132504491541816,1.0
hour_cos,0.0,-0.007013143608034281,0.7090713205875931,-1.0,-0.7163019434246547,-0.017452406437283498,0.7040147244559684,1.0
dow_sin,0.0,0.04256246672649726,0.699256684180796,-0.9749279121818236,-0.7818314824680299,0.0,0.7818314824680298,0.9749279121818236
dow_cos,0.0,0.0940945670472805,0.7073893297172228,-0.9009688679024191,-0.2225209339563146,-0.22252093395631434,0.6234898018587336,1.0
